Temps;A - B
(ms);(V)

-3,43592485;-0,01358080
-3,43336485;0,03128147
-3,43080485;-0,01449633
-3,42824485;0,03036594
-3,42568485;0,03036594
-3,42312485;0,02960300
-3,42056485;-0,01617479
-3,41800485;0,02868748
-3,41544485;-0,01693773
-3,41288485;-0,01693773
-3,41032485;0,02792454
-3,40776485;-0,01785326
-3,40520485;0,02700901
-3,40264485;-0,01876879
-3,40008485;-0,06439400
-3,39752485;-0,01953220
-3,39496485;-0,01953220
-3,39240485;-0,02044773
-3,38984485;0,02441454
-3,38728485;0,02441454
-3,38472485;-0,02136326
-3,38216485;0,02349901
-3,37960485;-0,02212596
-3,37704485;0,02273631
-3,37448485;0,02273631
-3,37192485;0,02182078
-3,36936485;0,02182078
-3,36680485;0,02105761
-3,36424485;0,02105761
-3,36168485;0,02105761
-3,35912485;0,02014232
-3,35656485;0,02014232
-3,35400485;0,01907420
-3,35144485;-0,02655101
-3,34888485;0,01831102
-3,34632485;0,01831102
-3,34376485;0,01739550
-3,34120485;0,01739550
-3,33864485;0,01739550
-3,33608485;0,01647997
-3,33352485;0,01647997
-3,33096485;0,01647997
-3,32840485;0,01571703
-3,32584485;-0,03006077
-3,32328485;0,01480126
-3,32072485;-0,03082371
-3,31816485;0,01403856
-3,31560485;0,01403856
-3,31304485;-0,03173923
-3,31048485;0,01312304
-3,30792485;-0,03265476
-3,30536485;-0,03341770
-3,30280485;0,01144433
-3,30024485;0,01144433
-3,29768485;0,01052880
-3,29512485;-0,03433347
-3,29256485;0,05539107
-3,29000485;0,00961328
-3,28744485;-0,03601193
-3,28488485;0,00885034
-3,28232485;0,00885034
-3,27976485;0,00793481
-3,27720485;0,00793481
-3,27464485;0,00717187
-3,27208485;0,00717187
-3,26952485;0,00717187
-3,26696485;0,00625634
-3,26440485;0,00625634
-3,26184485;0,00534082
-3,25928485;0,00534082
-3,25672485;-0,04028440
-3,25416485;0,00457764
-3,25160485;0,00366211
-3,24904486;0,00366211
-3,24648486;0,00366211
-3,24392486;0,04852438
-3,24136486;0,00274682
-3,23880486;0,00274682
-3,23624486;0,00198388
-3,23368486;0,00091553
-3,23112486;0,00091553
-3,22856486;0,04577780
-3,22600486;0,00015259
-3,22344486;0,00015259
-3,22088486;0,00015259
-3,21832486;-0,00076294
-3,21576486;-0,00076294
-3,21320486;-0,00167847
-3,21064486;-0,04730368
-3,20808486;-0,00244165
-3,20552486;-0,04821920
-3,20296486;-0,04821920
-3,20040486;-0,00335693
-3,19784486;-0,00335693
-3,19528486;-0,00427246
-3,19272486;-0,04989767
-3,19016486;-0,04989767
-3,18760486;-0,00503540
-3,18504486;-0,00595117
-3,18248486;-0,00595117
-3,17992486;-0,00671411
-3,17736486;-0,00671411
-3,17480486;0,03814816
-3,17224486;0,03814816
-3,16968486;-0,00762963
-3,16712486;-0,00762963
-3,16456486;-0,00854540
-3,16200486;-0,00930810
-3,15944486;-0,00930810
-3,15688486;0,03555417
-3,15432486;-0,01022363
-3,15176486;-0,01022363
-3,14920486;-0,01113915
-3,14664486;-0,01113915
-3,14408486;-0,01113915
-3,14152486;-0,01190233
-3,13896486;0,03295994
-3,13640486;-0,01281786
-3,13384486;0,03204441
-3,13128486;0,03204441
-3,12872486;-0,01358080
-3,12616486;-0,01449633
-3,12360486;-0,01449633
-3,12104486;-0,06027400
-3,11848486;-0,01541185
-3,11592486;-0,01617479
-3,11336486;-0,01617479
-3,11080486;-0,01617479
-3,10824486;0,02868748
-3,10568486;-0,01709032
-3,10312486;-0,01709032
-3,10056486;0,02761924
-3,09800486;-0,01815856
-3,09544486;-0,01892149
-3,09288486;0,02594066
-3,09032486;0,02594066
-3,08776486;0,02502525
-3,08520486;0,02502525
-3,08264486;-0,02059996
-3,08008486;-0,02059996
-3,07752486;0,02426219
-3,07496486;0,02426219
-3,07240486;0,02334666
-3,06984486;-0,02243102
-3,06728486;0,02243114
-3,06472486;-0,02319407
-3,06216486;0,02166820
-3,05960486;-0,02410960
-3,05704486;-0,02410960
-3,05448486;0,02075255
-3,05192486;-0,02502525
-3,04936486;0,01983702
-3,04680486;-0,02578807
-3,04424486;-0,02578807
-3,04168486;0,01907408
-3,03912486;0,01815856
-3,03656486;-0,02746665
-3,03400486;-0,02746665
-3,03144486;0,01739550
-3,02888486;-0,02838218
-3,02632486;0,01648009
-3,02376486;0,01648009
-3,02120486;-0,02929771
-3,01864486;-0,03006077
-3,01608486;-0,03006077
-3,01352486;0,01480138
-3,01096486;-0,03097630
-3,00840486;0,01388597
-3,00584486;0,01388597
-3,00328486;-0,03189182
-3,00072486;0,01297033
-2,99816486;0,01220739
-2,99560486;0,01220739
-2,99304486;0,01129180
-2,99048486;0,01129180
-2,98792486;0,01129180
-2,98536486;0,01052892
-2,98280486;0,01052892
-2,98024486;0,05523854
-2,97768486;0,00946075
-2,97512486;0,00946075
-2,97256486;0,05432296
-2,97000486;0,00778222
-2,96744486;0,00778222
-2,96488486;-0,03799552
-2,96232486;0,00778222
-2,95976486;-0,03707999
-2,95720486;0,00854522
-2,95464486;-0,03631699
-2,95208486;0,00946075
-2,94952486;0,00946075
-2,94696486;0,01052892
-2,94440486;0,01052892
-2,94184486;0,01129180
