Temps;Canal B
(ms);(V)

-450,22861025;4,76226100
-449,90093025;4,80712300
-449,57325025;4,76226100
-449,24557026;4,76226100
-448,91789026;4,76226100
-448,59021026;4,76226100
-448,26253026;4,76226100
-447,93485026;4,76226100
-447,60717027;4,76226100
-447,27949027;4,76226100
-446,95181027;4,76226100
-446,62413027;4,76226100
-446,29645027;4,76226100
-445,96877028;4,76226100
-445,64109028;4,76226100
-445,31341028;4,76226100
-444,98573028;4,76226100
-444,65805028;4,76226100
-444,33037029;4,76226100
-444,00269029;4,76226100
-443,67501029;4,76226100
-443,34733029;4,76226100
-443,01965029;4,80712300
-442,69197030;4,76226100
-442,36429030;4,76226100
-442,03661030;4,76226100
-441,70893030;4,76226100
-441,38125030;4,76226100
-441,05357031;4,76226100
-440,72589031;4,76226100
-440,39821031;4,76226100
-440,07053031;4,76226100
-439,74285031;4,76226100
-439,41517032;4,76226100
-439,08749032;4,76226100
-438,75981032;4,76226100
-438,43213032;4,76226100
-438,10445032;4,76226100
-437,77677033;4,76226100
-437,44909033;4,76226100
-437,12141033;4,76226100
-436,79373033;4,76226100
-436,46605033;4,76226100
-436,13837034;4,76226100
-435,81069034;4,76226100
-435,48301034;4,76226100
-435,15533034;4,76226100
-434,82765034;4,76226100
-434,49997035;4,76226100
-434,17229035;4,76226100
-433,84461035;4,76226100
-433,51693035;4,76226100
-433,18925035;4,76226100
-432,86157036;4,80712300
-432,53389036;4,76226100
-432,20621036;4,76226100
-431,87853036;4,76226100
-431,55085036;4,76226100
-431,22317037;4,76226100
-430,89549037;4,76226100
-430,56781037;4,76226100
-430,24013037;4,76226100
-429,91245037;4,76226100
-429,58477038;4,76226100
-429,25709038;4,76226100
-428,92941038;4,76226100
-428,60173038;4,76226100
-428,27405038;4,76226100
-427,94637039;4,76226100
-427,61869039;4,76226100
-427,29101039;4,76226100
-426,96333039;4,76226100
-426,63565039;4,76226100
-426,30797040;4,76226100
-425,98029040;4,76226100
-425,65261040;4,76226100
-425,32493040;4,76226100
-424,99725040;4,76226100
-424,66957041;4,76226100
-424,34189041;4,76226100
-424,01421041;4,76226100
-423,68653041;4,76226100
-423,35885041;4,76226100
-423,03117042;4,76226100
-422,70349042;4,76226100
-422,37581042;4,76226100
-422,04813042;4,76226100
-421,72045042;4,76226100
-421,39277043;4,76226100
-421,06509043;4,76226100
-420,73741043;4,76226100
-420,40973043;4,76226100
-420,08205043;4,76226100
-419,75437044;4,76226100
-419,42669044;4,76226100
-419,09901044;4,76226100
-418,77133044;4,76226100
-418,44365044;4,80712300
-418,11597045;4,76226100
-417,78829045;4,76226100
-417,46061045;4,76226100
-417,13293045;4,76226100
-416,80525045;4,76226100
-416,47757046;4,76226100
-416,14989046;4,76226100
-415,82221046;4,76226100
-415,49453046;4,76226100
-415,16685046;4,76226100
-414,83917047;4,76226100
-414,51149047;4,76226100
-414,18381047;4,76226100
-413,85613047;4,76226100
-413,52845047;4,76226100
-413,20077048;4,76226100
-412,87309048;4,76226100
-412,54541048;4,76226100
-412,21773048;4,76226100
-411,89005048;4,76226100
-411,56237049;4,76226100
-411,23469049;4,76226100
-410,90701049;4,76226100
-410,57933049;4,76226100
-410,25165049;4,76226100
-409,92397050;4,80712300
-409,59629050;4,76226100
-409,26861050;4,76226100
-408,94093050;4,76226100
-408,61325050;4,76226100
-408,28557051;4,76226100
-407,95789051;4,76226100
-407,63021051;4,76226100
-407,30253051;4,76226100
-406,97485051;4,76226100
-406,64717052;4,76226100
-406,31949052;4,76226100
-405,99181052;4,76226100
-405,66413052;4,76226100
-405,33645052;4,76226100
-405,00877053;4,76226100
-404,68109053;4,76226100
-404,35341053;4,76226100
-404,02573053;4,76226100
-403,69805053;4,76226100
-403,37037054;4,76226100
-403,04269054;4,76226100
-402,71501054;4,76226100
-402,38733054;4,76226100
-402,05965054;4,76226100
-401,73197055;4,76226100
-401,40429055;4,76226100
-401,07661055;4,76226100
-400,74893055;4,80712300
-400,42125055;4,76226100
-400,09357056;4,76226100
-399,76589056;4,76226100
-399,43821056;4,76226100
-399,11053056;4,76226100
-398,78285056;4,76226100
-398,45517057;4,76226100
-398,12749057;4,76226100
-397,79981057;4,76226100
-397,47213057;4,76226100
-397,14445057;4,76226100
-396,81677058;4,76226100
-396,48909058;4,76226100
-396,16141058;4,76226100
-395,83373058;4,76226100
-395,50605058;4,76226100
-395,17837059;4,76226100
-394,85069059;4,76226100
-394,52301059;4,76226100
-394,19533059;4,76226100
-393,86765059;4,76226100
-393,53997060;4,76226100
-393,21229060;4,76226100
-392,88461060;4,76226100
-392,55693060;4,76226100
-392,22925060;4,76226100
-391,90157061;4,76226100
-391,57389061;4,76226100
-391,24621061;4,76226100
-390,91853061;4,76226100
-390,59085061;4,76226100
-390,26317062;4,76226100
-389,93549062;4,76226100
-389,60781062;4,76226100
-389,28013062;4,76226100
-388,95245062;4,76226100
-388,62477063;4,76226100
-388,29709063;4,76226100
-387,96941063;4,76226100
-387,64173063;4,76226100
-387,31405063;4,76226100
-386,98637063;4,76226100
-386,65869064;4,76226100
-386,33101064;4,76226100
-386,00333064;4,76226100
-385,67565064;4,76226100
-385,34797064;4,76226100
-385,02029065;4,76226100
-384,69261065;4,76226100
-384,36493065;4,76226100
-384,03725065;4,76226100
-383,70957065;4,76226100
-383,38189066;4,76226100
-383,05421066;4,76226100
-382,72653066;4,76226100
-382,39885066;4,76226100
-382,07117066;4,76226100
-381,74349067;4,76226100
-381,41581067;4,76226100
-381,08813067;4,76226100
-380,76045067;4,76226100
-380,43277067;4,76226100
-380,10509068;4,76226100
-379,77741068;4,76226100
-379,44973068;4,76226100
-379,12205068;4,76226100
-378,79437068;4,76226100
-378,46669069;4,76226100
-378,13901069;4,76226100
-377,81133069;4,76226100
-377,48365069;4,76226100
-377,15597069;4,76226100
-376,82829070;4,76226100
-376,50061070;4,76226100
-376,17293070;4,76226100
-375,84525070;4,76226100
-375,51757070;4,76226100
-375,18989071;4,76226100
-374,86221071;4,76226100
-374,53453071;4,76226100
-374,20685071;4,76226100
-373,87917071;4,76226100
-373,55149072;4,76226100
-373,22381072;4,76226100
-372,89613072;4,76226100
-372,56845072;4,76226100
-372,24077072;4,76226100
-371,91309073;4,76226100
-371,58541073;4,76226100
-371,25773073;4,76226100
-370,93005073;4,76226100
-370,60237073;4,76226100
-370,27469074;4,76226100
-369,94701074;4,76226100
-369,61933074;4,76226100
-369,29165074;4,76226100
-368,96397074;4,76226100
-368,63629075;4,76226100
-368,30861075;4,76226100
-367,98093075;4,76226100
-367,65325075;4,76226100
-367,32557075;4,76226100
-366,99789076;4,76226100
-366,67021076;4,76226100
-366,34253076;4,76226100
-366,01485076;4,76226100
-365,68717076;4,76226100
-365,35949077;4,76226100
-365,03181077;4,76226100
-364,70413077;4,76226100
-364,37645077;4,76226100
-364,04877077;4,76226100
-363,72109078;4,76226100
-363,39341078;4,76226100
-363,06573078;4,76226100
-362,73805078;4,76226100
-362,41037078;4,76226100
-362,08269079;4,76226100
-361,75501079;4,76226100
