Temps;Canal B
(ms);(V)

-450,14298818;4,94171000
-449,81530818;4,94171000
-449,48762818;4,94171000
-449,15994818;4,94171000
-448,83226819;4,94171000
-448,50458819;4,94171000
-448,17690819;4,94171000
-447,84922819;4,94171000
-447,52154819;4,94171000
-447,19386820;4,94171000
-446,86618820;4,94171000
-446,53850820;4,94171000
-446,21082820;4,94171000
-445,88314820;4,94171000
-445,55546821;4,94171000
-445,22778821;4,94171000
-444,90010821;4,94171000
-444,57242821;4,94171000
-444,24474821;4,94171000
-443,91706822;4,94171000
-443,58938822;4,94171000
-443,26170822;4,94171000
-442,93402822;4,94171000
-442,60634822;4,94171000
-442,27866823;4,94171000
-441,95098823;4,94171000
-441,62330823;4,94171000
-441,29562823;4,94171000
-440,96794823;4,89684700
-440,64026824;4,89684700
-440,31258824;4,94171000
-439,98490824;4,94171000
-439,65722824;4,94171000
-439,32954824;4,94171000
-439,00186825;4,94171000
-438,67418825;4,94171000
-438,34650825;4,89684700
-438,01882825;4,94171000
-437,69114825;4,94171000
-437,36346826;4,94171000
-437,03578826;4,94171000
-436,70810826;4,94171000
-436,38042826;4,94171000
-436,05274826;4,94171000
-435,72506827;4,94171000
-435,39738827;0,00762963
-435,06970827;0,00762963
-434,74202827;0,00762963
-434,41434827;0,00762963
-434,08666828;0,00762963
-433,75898828;0,00762963
-433,43130828;0,00762963
-433,10362828;0,00762963
-432,77594828;0,00762963
-432,44826829;0,00762963
-432,12058829;0,00762963
-431,79290829;0,00762963
-431,46522829;0,00762963
-431,13754829;0,00762963
-430,80986830;0,00762963
-430,48218830;0,00762963
-430,15450830;0,00762963
-429,82682830;-0,03707999
-429,49914830;0,00762963
-429,17146831;0,00762963
-428,84378831;0,00762963
-428,51610831;0,00762963
-428,18842831;0,00762963
-427,86074831;0,00762963
-427,53306832;0,00762963
-427,20538832;0,00762963
-426,87770832;0,00762963
-426,55002832;0,00762963
-426,22234832;0,00762963
-425,89466833;0,00762963
-425,56698833;0,00762963
-425,23930833;0,00762963
-424,91162833;0,00762963
-424,58394833;0,00762963
-424,25626834;-0,03707999
-423,92858834;0,00762963
-423,60090834;0,00762963
-423,27322834;0,00762963
-422,94554834;0,00762963
-422,61786835;0,00762963
-422,29018835;0,00762963
-421,96250835;0,00762963
-421,63482835;0,00762963
-421,30714835;0,00762963
-420,97946836;-0,03707999
-420,65178836;0,00762963
-420,32410836;4,94171000
-419,99642836;4,89684700
-419,66874836;4,94171000
-419,34106837;4,94171000
-419,01338837;4,94171000
-418,68570837;4,94171000
-418,35802837;4,94171000
-418,03034837;4,94171000
-417,70266838;4,94171000
-417,37498838;4,94171000
-417,04730838;4,94171000
-416,71962838;4,94171000
-416,39194838;4,94171000
-416,06426839;4,94171000
-415,73658839;4,94171000
-415,40890839;4,94171000
-415,08122839;4,94171000
-414,75354839;4,94171000
-414,42586840;4,94171000
-414,09818840;4,94171000
-413,77050840;4,94171000
-413,44282840;4,94171000
-413,11514840;4,94171000
-412,78746841;4,94171000
-412,45978841;4,94171000
-412,13210841;4,94171000
-411,80442841;4,89684700
-411,47674841;4,94171000
-411,14906842;4,89684700
-410,82138842;4,94171000
-410,49370842;4,94171000
-410,16602842;4,94171000
-409,83834842;4,94171000
-409,51066843;4,94171000
-409,18298843;4,94171000
-408,85530843;4,94171000
-408,52762843;4,94171000
-408,19994843;4,94171000
-407,87226844;4,94171000
-407,54458844;4,94171000
-407,21690844;4,94171000
-406,88922844;4,94171000
-406,56154844;4,94171000
-406,23386845;4,89684700
-405,90618845;4,94171000
-405,57850845;4,94171000
-405,25082845;4,94171000
-404,92314845;4,89684700
-404,59546846;4,94171000
-404,26778846;4,94171000
-403,94010846;4,94171000
-403,61242846;4,94171000
-403,28474846;4,94171000
-402,95706847;4,94171000
-402,62938847;4,94171000
-402,30170847;4,94171000
-401,97402847;4,94171000
-401,64634847;4,94171000
-401,31866848;4,94171000
-400,99098848;4,94171000
-400,66330848;4,94171000
-400,33562848;4,94171000
-400,00794848;4,94171000
-399,68026849;4,94171000
-399,35258849;4,94171000
-399,02490849;4,94171000
-398,69722849;4,94171000
-398,36954849;4,94171000
-398,04186850;4,94171000
-397,71418850;4,94171000
-397,38650850;4,94171000
-397,05882850;4,94171000
-396,73114850;4,94171000
-396,40346851;4,94171000
-396,07578851;4,94171000
-395,74810851;4,94171000
-395,42042851;4,94171000
-395,09274851;4,94171000
-394,76506851;4,94171000
-394,43738852;4,94171000
-394,10970852;4,94171000
-393,78202852;4,94171000
-393,45434852;4,94171000
-393,12666852;4,94171000
-392,79898853;4,94171000
-392,47130853;4,94171000
-392,14362853;4,94171000
-391,81594853;4,94171000
-391,48826853;4,94171000
-391,16058854;4,94171000
-390,83290854;4,94171000
-390,50522854;4,89684700
-390,17754854;4,94171000
-389,84986854;4,94171000
-389,52218855;4,94171000
-389,19450855;4,94171000
-388,86682855;4,94171000
-388,53914855;4,94171000
-388,21146855;4,94171000
-387,88378856;4,94171000
-387,55610856;4,94171000
-387,22842856;4,94171000
-386,90074856;4,94171000
-386,57306856;4,94171000
-386,24538857;4,94171000
-385,91770857;4,94171000
-385,59002857;4,94171000
-385,26234857;4,94171000
-384,93466857;4,94171000
-384,60698858;4,94171000
-384,27930858;4,94171000
-383,95162858;4,94171000
-383,62394858;4,94171000
-383,29626858;4,94171000
-382,96858859;4,94171000
-382,64090859;4,94171000
-382,31322859;4,94171000
-381,98554859;4,94171000
-381,65786859;4,94171000
-381,33018860;4,94171000
-381,00250860;4,94171000
-380,67482860;4,94171000
-380,34714860;4,94171000
-380,01946860;4,94171000
-379,69178861;4,94171000
-379,36410861;4,94171000
-379,03642861;4,94171000
-378,70874861;4,89684700
-378,38106861;4,94171000
-378,05338862;4,94171000
-377,72570862;4,89684700
-377,39802862;4,89684700
-377,07034862;4,94171000
-376,74266862;4,94171000
-376,41498863;4,94171000
-376,08730863;4,94171000
-375,75962863;4,94171000
-375,43194863;4,94171000
-375,10426863;4,89684700
-374,77658864;4,94171000
-374,44890864;4,94171000
-374,12122864;4,94171000
-373,79354864;4,89684700
-373,46586864;4,94171000
-373,13818865;4,94171000
-372,81050865;4,94171000
-372,48282865;4,94171000
-372,15514865;4,94171000
-371,82746865;4,94171000
-371,49978866;4,94171000
-371,17210866;4,89684700
-370,84442866;4,94171000
-370,51674866;4,94171000
-370,18906866;4,94171000
-369,86138867;4,94171000
-369,53370867;4,94171000
-369,20602867;4,94171000
-368,87834867;4,94171000
-368,55066867;4,94171000
-368,22298868;4,94171000
-367,89530868;4,94171000
-367,56762868;4,94171000
-367,23994868;4,94171000
-366,91226868;4,94171000
-366,58458869;4,94171000
-366,25690869;4,94171000
-365,92922869;4,94171000
-365,60154869;4,94171000
-365,27386869;4,94171000
-364,94618870;4,94171000
-364,61850870;4,94171000
-364,29082870;4,94171000
-363,96314870;4,94171000
-363,63546870;4,94171000
-363,30778871;4,89684700
-362,98010871;4,94171000
-362,65242871;4,94171000
-362,32474871;4,94171000
-361,99706871;4,94171000
