Temps;Canal B
(ms);(V)

-450,18667838;2,38502100
-449,85899839;2,38502100
-449,53131839;2,38502100
-449,20363839;2,38502100
-448,87595839;2,38502100
-448,54827839;2,38502100
-448,22059839;2,38502100
-447,89291840;2,42988400
-447,56523840;2,38502100
-447,23755840;2,38502100
-446,90987840;2,38502100
-446,58219840;2,38502100
-446,25451841;2,38502100
-445,92683841;2,38502100
-445,59915841;2,38502100
-445,27147841;2,38502100
-444,94379841;2,38502100
-444,61611842;2,38502100
-444,28843842;2,38502100
-443,96075842;2,38502100
-443,63307842;2,38502100
-443,30539842;2,38502100
-442,97771843;2,38502100
-442,65003843;2,38502100
-442,32235843;2,38502100
-441,99467843;2,38502100
-441,66699843;2,38502100
-441,33931844;2,38502100
-441,01163844;2,38502100
-440,68395844;2,38502100
-440,35627844;2,38502100
-440,02859844;2,38502100
-439,70091845;2,38502100
-439,37323845;2,38502100
-439,04555845;2,38502100
-438,71787845;2,42988400
-438,39019845;2,38502100
-438,06251846;2,38502100
-437,73483846;2,38502100
-437,40715846;2,38502100
-437,07947846;2,38502100
-436,75179846;2,38502100
-436,42411847;2,38502100
-436,09643847;2,38502100
-435,76875847;2,38502100
-435,44107847;2,38502100
-435,11339847;2,38502100
-434,78571848;2,38502100
-434,45803848;2,38502100
-434,13035848;2,38502100
-433,80267848;2,38502100
-433,47499848;2,38502100
-433,14731849;2,38502100
-432,81963849;2,38502100
-432,49195849;2,38502100
-432,16427849;2,38502100
-431,83659849;2,38502100
-431,50891850;2,38502100
-431,18123850;2,38502100
-430,85355850;2,38502100
-430,52587850;2,38502100
-430,19819850;2,38502100
-429,87051851;2,38502100
-429,54283851;2,38502100
-429,21515851;2,38502100
-428,88747851;2,38502100
-428,55979851;2,38502100
-428,23211852;2,42988400
-427,90443852;2,38502100
-427,57675852;2,38502100
-427,24907852;2,38502100
-426,92139852;2,38502100
-426,59371853;2,38502100
-426,26603853;2,38502100
-425,93835853;2,38502100
-425,61067853;2,38502100
-425,28299853;2,38502100
-424,95531854;2,38502100
-424,62763854;2,38502100
-424,29995854;2,38502100
-423,97227854;2,38502100
-423,64459854;2,38502100
-423,31691855;2,38502100
-422,98923855;2,38502100
-422,66155855;2,38502100
-422,33387855;2,38502100
-422,00619855;2,38502100
-421,67851856;2,38502100
-421,35083856;2,38502100
-421,02315856;2,38502100
-420,69547856;2,38502100
-420,36779856;2,38502100
-420,04011857;2,38502100
-419,71243857;2,38502100
-419,38475857;2,38502100
-419,05707857;2,38502100
-418,72939857;2,38502100
-418,40171858;2,38502100
-418,07403858;2,38502100
-417,74635858;2,38502100
-417,41867858;2,38502100
-417,09099858;2,38502100
-416,76331859;2,38502100
-416,43563859;2,38502100
-416,10795859;2,38502100
-415,78027859;2,38502100
-415,45259859;2,38502100
-415,12491860;2,38502100
-414,79723860;2,38502100
-414,46955860;2,38502100
-414,14187860;2,38502100
-413,81419860;2,38502100
-413,48651861;2,38502100
-413,15883861;2,38502100
-412,83115861;2,38502100
-412,50347861;2,38502100
-412,17579861;2,42988400
-411,84811862;2,38502100
-411,52043862;2,38502100
-411,19275862;2,38502100
-410,86507862;2,38502100
-410,53739862;2,38502100
-410,20971863;2,38502100
-409,88203863;2,38502100
-409,55435863;2,38502100
-409,22667863;2,38502100
-408,89899863;2,42988400
-408,57131864;2,38502100
-408,24363864;2,38502100
-407,91595864;2,38502100
-407,58827864;2,38502100
-407,26059864;2,38502100
-406,93291865;2,38502100
-406,60523865;2,38502100
-406,27755865;2,38502100
-405,94987865;2,38502100
-405,62219865;2,38502100
-405,29451866;2,38502100
-404,96683866;2,38502100
-404,63915866;2,38502100
-404,31147866;2,38502100
-403,98379866;2,38502100
-403,65611867;2,38502100
-403,32843867;2,38502100
-403,00075867;2,38502100
-402,67307867;2,38502100
-402,34539867;2,38502100
-402,01771868;2,38502100
-401,69003868;2,38502100
-401,36235868;2,38502100
-401,03467868;2,38502100
-400,70699868;2,38502100
-400,37931869;2,38502100
-400,05163869;2,38502100
