Temps;Canal A;Canal B;Veb;Vec
(ms);(V);(V);(V);(V)

3,46438529;1,96246200;0,00128178;0,46246220;0,46246220
3,46950529;1,96246200;0,00128178;0,46246220;0,46246220
3,47462529;1,96246200;0,00128178;0,48083440;0,48083440
3,47974529;1,98083400;0,00128178;0,46246220;0,46246220
3,48486529;1,96246200;0,00128178;0,46246220;0,46246220
3,48998529;1,96246200;0,00128178;0,46246220;0,46246220
3,49510529;1,96246200;0,00128178;0,46246220;0,46246220
3,50022529;1,96246200;0,00128178;-0,65829950;-0,65829950
3,50534529;0,84170050;0,27216410;-0,65829950;-0,65829950
3,51046529;0,84170050;0,27216410;-0,65829950;-0,65829950
3,51558529;0,84170050;0,27216410;-0,65829950;-0,65829950
3,52070529;0,84170050;0,27216410;-0,65829950;-0,65829950
3,52582529;0,84170050;0,27216410;-0,65829950;-0,65829950
3,53094529;0,84170050;0,27216410;-0,65829950;-0,65829950
3,53606529;0,84170050;0,27216410;-0,65829950;-0,65829950
3,54118529;0,84170050;0,27216410;-0,65829950;-0,65829950
3,54630528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,55142528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,55654528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,56166528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,56678528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,57190528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,57702528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,58214528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,58726528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,59238528;0,84170050;0,29023100;-0,67667160;-0,67667160
3,59750528;0,82332840;0,29023100;-0,65829950;-0,65829950
3,60262528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,60774528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,61286528;0,84170050;0,29023100;-0,65829950;-0,65829950
3,61798528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,62310528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,62822528;0,84170050;0,29023100;-0,65829950;-0,65829950
3,63334528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,63846528;0,84170050;0,29023100;-0,65829950;-0,65829950
3,64358528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,64870528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,65382528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,65894528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,66406528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,66918528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,67430528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,67942528;0,84170050;0,27216410;-0,65829950;-0,65829950
3,68454528;0,84170050;0,27216410;-0,65829950;-0,65829950
